,Transformer_lv_grid_4488000000_1,Transformer_lv_grid_4488000000_2,Transformer_lv_grid_4488000000_3,Transformer_lv_grid_4488000001_1,Transformer_lv_grid_4488000001_2,Transformer_lv_grid_4488000001_3,Transformer_lv_grid_4488000002_1,Transformer_lv_grid_4488000003_1,Transformer_lv_grid_4488000003_2,Transformer_lv_grid_4488000004_1
1970-01-01 00:00:00,-1.6381080424761527e+53,-1.6381080424761527e+53,-1.6381080424761527e+53,3.8060220326445095e+54,3.8060220326445095e+54,3.8060220326445095e+54,4.942408221053623e+50,9.777383993824244e+52,9.777383993824244e+52,7.068688064017984e+43
1970-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
