,Transformer_lv_grid_2765000000_1,Transformer_lv_grid_2765000000_2,Transformer_lv_grid_2765000000_3,Transformer_lv_grid_2765000001_1,Transformer_lv_grid_2765000001_2,Transformer_lv_grid_2765000002_1
1970-01-01 00:00:00,1.6757522716759068e+68,1.6757522716759068e+68,1.6757522716759068e+68,3.7750151228715056e+66,3.7750151228715056e+66,1.4075982700118907e+61
1970-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
