,Transformer_lv_grid_2765000000_1,Transformer_lv_grid_2765000000_2,Transformer_lv_grid_2765000000_3,Transformer_lv_grid_2765000001_1,Transformer_lv_grid_2765000001_2,Transformer_lv_grid_2765000002_1
1970-01-01 00:00:00,1.55470693362123e+66,1.55470693362123e+66,1.55470693362123e+66,2.605319199757746e+66,2.605319199757746e+66,1.071878685029686e+64
1970-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
