,Transformer_lv_grid_2765000000_1,Transformer_lv_grid_2765000000_2,Transformer_lv_grid_2765000000_3,Transformer_lv_grid_2765000001_1,Transformer_lv_grid_2765000001_2,Transformer_lv_grid_2765000002_1
1970-01-01 00:00:00,2.877901130082636e+67,2.877901130082636e+67,2.877901130082636e+67,-7.608312802086446e+65,-7.608312802086446e+65,2.9917862250323894e+61
1970-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
