,Transformer_lv_grid_4488000000_1,Transformer_lv_grid_4488000000_2,Transformer_lv_grid_4488000000_3,Transformer_lv_grid_4488000001_1,Transformer_lv_grid_4488000001_2,Transformer_lv_grid_4488000001_3,Transformer_lv_grid_4488000002_1,Transformer_lv_grid_4488000003_1,Transformer_lv_grid_4488000003_2,Transformer_lv_grid_4488000004_1
1970-01-01 00:00:00,-1.441114359471275e+122,-1.441114359471275e+122,-1.441114359471275e+122,3.763228075960543e+123,3.763228075960543e+123,3.763228075960543e+123,0.7586878434529823,5.78338937817011e+124,5.78338937817011e+124,0.09992344223952872
1970-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
