name,bus,control,p_nom,type,weather_cell_id,subtype,min_up_time,min_down_time,up_time_before,down_time_before
Generator_mvgd_40_lvgd_3731000000_solar_roof_mounted_232805,Bus_mvgd_40_lvgd_3731000000_gen_232805,PQ,0.004,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3731000000_solar_roof_mounted_233036,Bus_mvgd_40_lvgd_3731000000_gen_233036,PQ,0.011,solar,1127073,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3731000000_solar_roof_mounted_235102,Bus_mvgd_40_lvgd_3731000000_gen_235102,PQ,0.013,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3780000000_solar_roof_mounted_232848,Bus_mvgd_40_lvgd_3780000000_gen_232848,PQ,0.005,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3780000000_solar_roof_mounted_233012,Bus_mvgd_40_lvgd_3780000000_gen_233012,PQ,0.004,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3780000000_solar_roof_mounted_233022,Bus_mvgd_40_lvgd_3780000000_gen_233022,PQ,0.03,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3780000000_solar_roof_mounted_233066,Bus_mvgd_40_lvgd_3780000000_gen_233066,PQ,0.03,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3780000000_solar_roof_mounted_233137,Bus_mvgd_40_lvgd_3780000000_gen_233137,PQ,0.005,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3780000000_solar_ground_mounted_234998,Bus_mvgd_40_lvgd_3780000000_gen_234998,PQ,0.006,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3805000000_solar_ground_mounted_232753,Bus_mvgd_40_lvgd_3805000000_gen_232753,PQ,0.014,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3805000000_solar_roof_mounted_233076,Bus_mvgd_40_lvgd_3805000000_gen_233076,PQ,0.013,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3805000000_solar_ground_mounted_235082,Bus_mvgd_40_lvgd_3805000000_gen_235082,PQ,0.028,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3805000000_solar_roof_mounted_235092,Bus_mvgd_40_lvgd_3805000000_gen_235092,PQ,0.013,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3911000000_biogas_232551,Bus_mvgd_40_lvgd_3911000000_gen_232551,PQ,0.03,biomass,,biogas,0,0,1,0
Generator_mvgd_40_lvgd_3911000000_solar_ground_mounted_232571,Bus_mvgd_40_lvgd_3911000000_gen_232571,PQ,0.003,solar,1127074.0,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3911000000_solar_ground_mounted_232658,Bus_mvgd_40_lvgd_3911000000_gen_232658,PQ,0.004,solar,1127074.0,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3911000000_solar_roof_mounted_232935,Bus_mvgd_40_lvgd_3911000000_gen_232935,PQ,0.004,solar,1127074.0,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3911000000_solar_roof_mounted_233127,Bus_mvgd_40_lvgd_3911000000_gen_233127,PQ,0.007,solar,1127074.0,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3986000000_solar_ground_mounted_232522,Bus_mvgd_40_lvgd_3986000000_gen_232522,PQ,0.002,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3986000000_solar_ground_mounted_232733,Bus_mvgd_40_lvgd_3986000000_gen_232733,PQ,0.007,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3986000000_solar_roof_mounted_232867,Bus_mvgd_40_lvgd_3986000000_gen_232867,PQ,0.011,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3986000000_solar_roof_mounted_232902,BranchTee_mvgd_40_lvgd_3986000000_3,PQ,0.055,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3986000000_solar_ground_mounted_235029,Bus_mvgd_40_lvgd_3986000000_gen_235029,PQ,0.012,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3987000000_solar_ground_mounted_232667,Bus_mvgd_40_lvgd_3987000000_gen_232667,PQ,0.009,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3987000000_solar_ground_mounted_232675,Bus_mvgd_40_lvgd_3987000000_gen_232675,PQ,0.008,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3987000000_solar_roof_mounted_233070,Bus_mvgd_40_lvgd_3987000000_gen_233070,PQ,0.015,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3987000000_solar_roof_mounted_233111,BranchTee_mvgd_40_lvgd_3987000000_7,PQ,0.037,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_3992000000_solar_ground_mounted_232677,Bus_mvgd_40_lvgd_3992000000_gen_232677,PQ,0.012,solar,1127074,solar_ground_mounted,0,0,1,0
