,Transformer_lv_grid_4488000000_1,Transformer_lv_grid_4488000000_2,Transformer_lv_grid_4488000000_3,Transformer_lv_grid_4488000001_1,Transformer_lv_grid_4488000001_2,Transformer_lv_grid_4488000001_3,Transformer_lv_grid_4488000002_1,Transformer_lv_grid_4488000003_1,Transformer_lv_grid_4488000003_2,Transformer_lv_grid_4488000004_1
1970-01-01 00:00:00,-5.372742756601882e+69,-5.372742756601882e+69,-5.372742756601882e+69,7.886876718528684e+69,7.886876718528684e+69,7.886876718528684e+69,1.7901928583580261e+61,1.1461552952220697e+68,1.1461552952220697e+68,6.603121326381677e+50
1970-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
