name,bus,peak_load,annual_consumption,sector
Load_mvgd_40_lvgd_2765000000_52,BranchTee_mvgd_40_lvgd_2765000000_251,0.00918929244909938,0,ALL
Load_mvgd_40_lvgd_2765000000_53,BranchTee_mvgd_40_lvgd_2765000000_252,0.007220158352863799,0,ALL
Load_mvgd_40_lvgd_2765000000_54,BranchTee_mvgd_40_lvgd_2765000000_253,0.007361730085272892,0,ALL
Load_mvgd_40_lvgd_2765000000_55,BranchTee_mvgd_40_lvgd_2765000000_254,0.008664190023436559,0,ALL
Load_mvgd_40_lvgd_2765000000_56,BranchTee_mvgd_40_lvgd_2765000000_255,0.008516084211070123,0,ALL
Load_mvgd_40_lvgd_2765000000_57,BranchTee_mvgd_40_lvgd_2765000000_256,0.008850516690607237,0,ALL
Load_mvgd_40_lvgd_2765000000_58,BranchTee_mvgd_40_lvgd_2765000000_257,0.008850516690607237,0,ALL
Load_mvgd_40_lvgd_2765000000_59,BranchTee_mvgd_40_lvgd_2765000000_258,0.008516084211070123,0,ALL
Load_mvgd_40_lvgd_2765000000_60,BranchTee_mvgd_40_lvgd_2765000000_259,0.007220158352863799,0,ALL
Load_mvgd_40_lvgd_2765000000_61,BranchTee_mvgd_40_lvgd_2765000000_260,0.008664190023436559,0,ALL
Load_mvgd_40_lvgd_2765000000_62,BranchTee_mvgd_40_lvgd_2765000000_261,0.008664190023436559,0,ALL
Load_mvgd_40_lvgd_2765000000_63,BranchTee_mvgd_40_lvgd_2765000000_262,0.00694245995467673,0,ALL
Load_mvgd_40_lvgd_2765000000_64,BranchTee_mvgd_40_lvgd_2765000000_263,0.00459464622454969,0,ALL
Load_mvgd_40_lvgd_2765000000_65,BranchTee_mvgd_40_lvgd_2765000000_264,0.00459464622454969,0,ALL
Load_mvgd_40_lvgd_2765000000_66,BranchTee_mvgd_40_lvgd_2765000000_265,0.00459464622454969,0,ALL
Load_mvgd_40_lvgd_2765000000_67,BranchTee_mvgd_40_lvgd_2765000000_266,0.004011199084924333,0,ALL
Load_mvgd_40_lvgd_2765000000_68,BranchTee_mvgd_40_lvgd_2765000000_267,0.004011199084924333,0,ALL
Load_mvgd_40_lvgd_2765000000_69,BranchTee_mvgd_40_lvgd_2765000000_268,0.005708962418543469,0,ALL
Load_mvgd_40_lvgd_2765000000_70,BranchTee_mvgd_40_lvgd_2765000000_269,0.0056729815629644135,0,ALL
Load_mvgd_40_lvgd_2765000000_71,BranchTee_mvgd_40_lvgd_2765000000_270,0.006460141684141294,0,ALL
Load_mvgd_40_lvgd_2765000000_72,BranchTee_mvgd_40_lvgd_2765000000_271,0.005779531843581926,0,ALL
Load_mvgd_40_lvgd_2765000000_73,BranchTee_mvgd_40_lvgd_2765000000_272,0.005815429556896099,0,ALL
Load_mvgd_40_lvgd_2765000000_74,BranchTee_mvgd_40_lvgd_2765000000_273,0.005492350137068538,0,ALL
Load_mvgd_40_lvgd_2765000000_75,BranchTee_mvgd_40_lvgd_2765000000_274,0.007093061808032364,0,ALL
Load_mvgd_40_lvgd_2765000000_76,BranchTee_mvgd_40_lvgd_2765000000_275,0.007093061808032364,0,ALL
Load_mvgd_40_lvgd_2765000000_77,BranchTee_mvgd_40_lvgd_2765000000_276,0.00786793410638884,0,ALL
Load_mvgd_40_lvgd_2765000000_78,BranchTee_mvgd_40_lvgd_2765000000_277,0.003281890160392636,0,ALL
Load_mvgd_40_lvgd_2765000000_79,BranchTee_mvgd_40_lvgd_2765000000_278,0.0053201166810575365,0,ALL
Load_mvgd_40_lvgd_2765000000_80,BranchTee_mvgd_40_lvgd_2765000000_279,0.003281890160392636,0,ALL
Load_mvgd_40_lvgd_2765000000_81,BranchTee_mvgd_40_lvgd_2765000000_280,0.003281890160392636,0,ALL
Load_mvgd_40_lvgd_2765000000_82,BranchTee_mvgd_40_lvgd_2765000000_281,0.0048134389019092,0,ALL
Load_mvgd_40_lvgd_2765000000_83,BranchTee_mvgd_40_lvgd_2765000000_282,0.0048134389019092,0,ALL
Load_mvgd_40_lvgd_2765000000_84,BranchTee_mvgd_40_lvgd_2765000000_283,0.004560100012335031,0,ALL
Load_mvgd_40_lvgd_2765000000_85,BranchTee_mvgd_40_lvgd_2765000000_284,0.006317638558755824,0,ALL
Load_mvgd_40_lvgd_2765000000_86,BranchTee_mvgd_40_lvgd_2765000000_285,0.006317638558755824,0,ALL
Load_mvgd_40_lvgd_2765000000_87,BranchTee_mvgd_40_lvgd_2765000000_286,0.006317638558755824,0,ALL
Load_mvgd_40_lvgd_2765000000_88,BranchTee_mvgd_40_lvgd_2765000000_287,0.006235591304746008,0,ALL
Load_mvgd_40_lvgd_2765000000_89,BranchTee_mvgd_40_lvgd_2765000000_288,0.006601287636904044,0,ALL
Load_mvgd_40_lvgd_2765000000_90,BranchTee_mvgd_40_lvgd_2765000000_289,0.005415118764647849,0,ALL
Load_mvgd_40_lvgd_2765000000_91,BranchTee_mvgd_40_lvgd_2765000000_290,0.004963858867593862,0,ALL
Load_mvgd_40_lvgd_2765000000_92,BranchTee_mvgd_40_lvgd_2765000000_291,0.006840150018502546,0,ALL
Load_mvgd_40_lvgd_2765000000_93,BranchTee_mvgd_40_lvgd_2765000000_292,0.004963858867593862,0,ALL
Load_mvgd_40_lvgd_2765000000_94,BranchTee_mvgd_40_lvgd_2765000000_293,0.004963858867593862,0,ALL
Load_mvgd_40_lvgd_2765000000_95,BranchTee_mvgd_40_lvgd_2765000000_294,0.005826794460205873,0,ALL
Load_mvgd_40_lvgd_2765000000_96,BranchTee_mvgd_40_lvgd_2765000000_295,0.006931352018749247,0,ALL
Load_mvgd_40_lvgd_2765000000_97,BranchTee_mvgd_40_lvgd_2765000000_296,0.006931352018749247,0,ALL
Load_mvgd_40_lvgd_2765000000_98,BranchTee_mvgd_40_lvgd_2765000000_297,0.006738814462672879,0,ALL
Load_mvgd_40_lvgd_2765000000_99,BranchTee_mvgd_40_lvgd_2765000000_298,0.006317638558755824,0,ALL
Load_mvgd_40_lvgd_2765000000_100,BranchTee_mvgd_40_lvgd_2765000000_299,0.006317638558755824,0,ALL
Load_mvgd_40_lvgd_2765000000_101,BranchTee_mvgd_40_lvgd_2765000000_300,0.006738814462672879,0,ALL
Load_mvgd_40_lvgd_2765000000_102,BranchTee_mvgd_40_lvgd_2765000000_301,0.007220158352863799,0,ALL
Load_mvgd_40_lvgd_2765000000_103,BranchTee_mvgd_40_lvgd_2765000000_302,0.007220158352863799,0,ALL
Load_mvgd_40_lvgd_2765000000_104,BranchTee_mvgd_40_lvgd_2765000000_303,0.007220158352863799,0,ALL
Load_mvgd_40_lvgd_2765000000_105,BranchTee_mvgd_40_lvgd_2765000000_304,0.007220158352863799,0,ALL
Load_mvgd_40_lvgd_2765000000_106,BranchTee_mvgd_40_lvgd_2765000000_305,0.007220158352863799,0,ALL
Load_mvgd_40_lvgd_2765000000_107,BranchTee_mvgd_40_lvgd_2765000000_306,0.007220158352863799,0,ALL
Load_mvgd_40_lvgd_2765000000_108,BranchTee_mvgd_40_lvgd_2765000000_307,0.007220158352863799,0,ALL
Load_mvgd_40_lvgd_2765000000_109,BranchTee_mvgd_40_lvgd_2765000000_308,0.007220158352863799,0,ALL
Load_mvgd_40_lvgd_2765000000_110,BranchTee_mvgd_40_lvgd_2765000000_309,0.007220158352863799,0,ALL
Load_mvgd_40_lvgd_2765000000_111,BranchTee_mvgd_40_lvgd_2765000000_310,0.007220158352863799,0,ALL
Load_mvgd_40_lvgd_2765000000_112,BranchTee_mvgd_40_lvgd_2765000000_311,0.006819038444371366,0,ALL
Load_mvgd_40_lvgd_2765000000_113,BranchTee_mvgd_40_lvgd_2765000000_312,0.007220158352863799,0,ALL
Load_mvgd_40_lvgd_2765000000_114,BranchTee_mvgd_40_lvgd_2765000000_313,0.007220158352863799,0,ALL
Load_mvgd_40_lvgd_2765000000_115,BranchTee_mvgd_40_lvgd_2765000000_314,0.007220158352863799,0,ALL
Load_mvgd_40_lvgd_2765000000_116,BranchTee_mvgd_40_lvgd_2765000000_315,0.00694900237212992,0,ALL
Load_mvgd_40_lvgd_2765000000_117,BranchTee_mvgd_40_lvgd_2765000000_316,0.005188275419732136,0,ALL
Load_mvgd_40_lvgd_2765000000_118,BranchTee_mvgd_40_lvgd_2765000000_317,0.01031020460647537,0,ALL
Load_mvgd_40_lvgd_2765000000_119,BranchTee_mvgd_40_lvgd_2765000000_318,0.006351822480775005,0,ALL
Load_mvgd_40_lvgd_2765000000_120,BranchTee_mvgd_40_lvgd_2765000000_319,0.008537951085269382,0,ALL
Load_mvgd_40_lvgd_2765000000_121,BranchTee_mvgd_40_lvgd_2765000000_320,0.01031020460647537,0,ALL
Load_mvgd_40_lvgd_2765000000_122,BranchTee_mvgd_40_lvgd_2765000000_321,0.007034440925885616,0,ALL
Load_mvgd_40_lvgd_2765000000_123,BranchTee_mvgd_40_lvgd_2765000000_322,0.003952245099148891,0,ALL
Load_mvgd_40_lvgd_2765000000_124,BranchTee_mvgd_40_lvgd_2765000000_323,0.007008907564993109,0,ALL
Load_mvgd_40_lvgd_2765000000_125,BranchTee_mvgd_40_lvgd_2765000000_324,0.006374588869594988,0,ALL
Load_mvgd_40_lvgd_2765000000_126,BranchTee_mvgd_40_lvgd_2765000000_325,0.0050517418560549745,0,ALL
Load_mvgd_40_lvgd_2765000000_127,BranchTee_mvgd_40_lvgd_2765000000_326,0.007339883755562228,0,ALL
Load_mvgd_40_lvgd_2765000000_128,BranchTee_mvgd_40_lvgd_2765000000_327,0.00564606442735556,0,ALL
Load_mvgd_40_lvgd_2765000000_129,BranchTee_mvgd_40_lvgd_2765000000_328,0.005188275419732136,0,ALL
Load_mvgd_40_lvgd_2765000000_130,BranchTee_mvgd_40_lvgd_2765000000_329,0.00694900237212992,0,ALL
Load_mvgd_40_lvgd_2765000000_131,BranchTee_mvgd_40_lvgd_2765000000_330,0.0060493547435952425,0,ALL
Load_mvgd_40_lvgd_2765000000_132,BranchTee_mvgd_40_lvgd_2765000000_331,0.01031020460647537,0,ALL
Load_mvgd_40_lvgd_2765000000_133,BranchTee_mvgd_40_lvgd_2765000000_332,0.007447999882894568,0,ALL
Load_mvgd_40_lvgd_2765000000_134,BranchTee_mvgd_40_lvgd_2765000000_333,0.007410459560904172,0,ALL
Load_mvgd_40_lvgd_2765000000_135,BranchTee_mvgd_40_lvgd_2765000000_334,0.010423503558194882,0,ALL
Load_mvgd_40_lvgd_2765000000_136,BranchTee_mvgd_40_lvgd_2765000000_335,0.008537951085269382,0,ALL
Load_mvgd_40_lvgd_2765000000_137,BranchTee_mvgd_40_lvgd_2765000000_336,0.006537548284306438,0,ALL
Load_mvgd_40_lvgd_2765000000_138,BranchTee_mvgd_40_lvgd_2765000000_337,0.008130332775392006,0,ALL
Load_mvgd_40_lvgd_2765000000_139,BranchTee_mvgd_40_lvgd_2765000000_338,0.005807380553851433,0,ALL
Load_mvgd_40_lvgd_2765000000_140,BranchTee_mvgd_40_lvgd_2765000000_339,0.006537548284306438,0,ALL
Load_mvgd_40_lvgd_2765000000_141,BranchTee_mvgd_40_lvgd_2765000000_340,0.005188275419732136,0,ALL
Load_mvgd_40_lvgd_2765000000_142,BranchTee_mvgd_40_lvgd_2765000000_341,0.006351822480775005,0,ALL
Load_mvgd_40_lvgd_2765000000_143,BranchTee_mvgd_40_lvgd_2765000000_342,0.0050517418560549745,0,ALL
Load_mvgd_40_lvgd_2765000000_144,BranchTee_mvgd_40_lvgd_2765000000_343,0.003952245099148891,0,ALL
Load_mvgd_40_lvgd_2765000000_145,BranchTee_mvgd_40_lvgd_2765000000_344,0.007447999882894568,0,ALL
Load_mvgd_40_lvgd_2765000000_146,BranchTee_mvgd_40_lvgd_2765000000_345,0.006374588869594988,0,ALL
Load_mvgd_40_lvgd_2765000000_147,BranchTee_mvgd_40_lvgd_2765000000_346,0.007034440925885616,0,ALL
Load_mvgd_40_lvgd_2765000000_148,BranchTee_mvgd_40_lvgd_2765000000_347,0.007339883755562228,0,ALL
Load_mvgd_40_lvgd_2765000000_149,BranchTee_mvgd_40_lvgd_2765000000_348,0.00564606442735556,0,ALL
Load_mvgd_40_lvgd_2765000000_150,BranchTee_mvgd_40_lvgd_2765000000_349,0.006840150018502546,0,ALL
Load_mvgd_40_lvgd_2765000000_151,BranchTee_mvgd_40_lvgd_2765000000_350,0.006891969336824536,0,ALL
Load_mvgd_40_lvgd_2765000000_152,BranchTee_mvgd_40_lvgd_2765000000_351,0.006601287636904044,0,ALL
Load_mvgd_40_lvgd_2765000000_153,BranchTee_mvgd_40_lvgd_2765000000_352,0.006601287636904044,0,ALL
Load_mvgd_40_lvgd_2765000000_154,BranchTee_mvgd_40_lvgd_2765000000_353,0.005615678718894066,0,ALL
Load_mvgd_40_lvgd_2765000000_155,BranchTee_mvgd_40_lvgd_2765000000_354,0.005615678718894066,0,ALL
Load_mvgd_40_lvgd_2765000000_156,BranchTee_mvgd_40_lvgd_2765000000_355,0.006317638558755824,0,ALL
Load_mvgd_40_lvgd_2765000000_157,BranchTee_mvgd_40_lvgd_2765000000_356,0.005615678718894066,0,ALL
Load_mvgd_40_lvgd_2765000000_158,BranchTee_mvgd_40_lvgd_2765000000_357,0.006317638558755824,0,ALL
Load_mvgd_40_lvgd_2765000000_159,BranchTee_mvgd_40_lvgd_2765000000_358,0.006263269896460163,0,ALL
Load_mvgd_40_lvgd_2765000000_160,BranchTee_mvgd_40_lvgd_2765000000_359,0.005415118764647849,0,ALL
Load_mvgd_40_lvgd_2765000000_161,BranchTee_mvgd_40_lvgd_2765000000_360,0.007220158352863799,0,ALL
Load_mvgd_40_lvgd_2765000000_162,BranchTee_mvgd_40_lvgd_2765000000_361,0.008537951085269382,0,ALL
Load_mvgd_40_lvgd_2765000000_163,BranchTee_mvgd_40_lvgd_2765000000_362,0.006007902402750815,0,ALL
Load_mvgd_40_lvgd_2765000000_164,BranchTee_mvgd_40_lvgd_2765000000_363,0.00853754551969853,0,ALL
Load_mvgd_40_lvgd_2765000000_165,BranchTee_mvgd_40_lvgd_2765000000_364,0.009782354078829443,0,ALL
Load_mvgd_40_lvgd_2765000000_166,BranchTee_mvgd_40_lvgd_2765000000_365,0.00853754551969853,0,ALL
Load_mvgd_40_lvgd_2765000000_167,BranchTee_mvgd_40_lvgd_2765000000_366,0.01932014930568815,0,ALL
Load_mvgd_40_lvgd_2765000000_168,BranchTee_mvgd_40_lvgd_2765000000_367,0.01932014930568815,0,ALL
Load_mvgd_40_lvgd_2765000000_169,BranchTee_mvgd_40_lvgd_2765000000_368,0.008916991987240686,0,ALL
Load_mvgd_40_lvgd_2765000000_170,BranchTee_mvgd_40_lvgd_2765000000_369,0.008916991987240686,0,ALL
Load_mvgd_40_lvgd_2765000000_171,BranchTee_mvgd_40_lvgd_2765000000_370,0.008916991987240686,0,ALL
Load_mvgd_40_lvgd_2765000000_172,BranchTee_mvgd_40_lvgd_2765000000_371,0.008916991987240686,0,ALL
Load_mvgd_40_lvgd_2765000000_173,BranchTee_mvgd_40_lvgd_2765000000_372,0.00983491763298605,0,ALL
Load_mvgd_40_lvgd_2765000000_174,BranchTee_mvgd_40_lvgd_2765000000_373,0.008916991987240686,0,ALL
Load_mvgd_40_lvgd_2765000000_175,BranchTee_mvgd_40_lvgd_2765000000_374,0.007643135989063444,0,ALL
Load_mvgd_40_lvgd_2765000000_176,BranchTee_mvgd_40_lvgd_2765000000_375,0.007643135989063444,0,ALL
Load_mvgd_40_lvgd_2765000000_177,BranchTee_mvgd_40_lvgd_2765000000_376,0.011610666650052975,0,ALL
Load_mvgd_40_lvgd_2765000000_178,BranchTee_mvgd_40_lvgd_2765000000_377,0.011610666650052975,0,ALL
Load_mvgd_40_lvgd_2765000000_179,BranchTee_mvgd_40_lvgd_2765000000_378,0.008853750909316992,0,ALL
Load_mvgd_40_lvgd_2765000000_180,BranchTee_mvgd_40_lvgd_2765000000_379,0.008853750909316992,0,ALL
Load_mvgd_40_lvgd_2765000000_181,BranchTee_mvgd_40_lvgd_2765000000_380,0.008853750909316992,0,ALL
Load_mvgd_40_lvgd_2765000000_182,BranchTee_mvgd_40_lvgd_2765000000_381,0.008853750909316992,0,ALL
Load_mvgd_40_lvgd_2765000000_183,BranchTee_mvgd_40_lvgd_2765000000_382,0.008853750909316992,0,ALL
Load_mvgd_40_lvgd_2765000000_184,BranchTee_mvgd_40_lvgd_2765000000_383,0.011610666650052975,0,ALL
Load_mvgd_40_lvgd_2765000000_185,BranchTee_mvgd_40_lvgd_2765000000_384,0.011610666650052975,0,ALL
Load_mvgd_40_lvgd_2765000000_186,BranchTee_mvgd_40_lvgd_2765000000_385,0.011610666650052975,0,ALL
Load_mvgd_40_lvgd_2765000000_187,BranchTee_mvgd_40_lvgd_2765000000_386,0.011610666650052975,0,ALL
Load_mvgd_40_lvgd_2765000000_188,BranchTee_mvgd_40_lvgd_2765000000_387,0.009782354078829443,0,ALL
Load_mvgd_40_lvgd_2765000000_189,BranchTee_mvgd_40_lvgd_2765000000_388,0.008400064915516587,0,ALL
Load_mvgd_40_lvgd_2765000000_190,BranchTee_mvgd_40_lvgd_2765000000_389,0.008400064915516587,0,ALL
Load_mvgd_40_lvgd_2765000000_191,BranchTee_mvgd_40_lvgd_2765000000_390,0.008400064915516587,0,ALL
Load_mvgd_40_lvgd_2765000000_192,BranchTee_mvgd_40_lvgd_2765000000_391,0.008400064915516587,0,ALL
Load_mvgd_40_lvgd_2765000000_193,BranchTee_mvgd_40_lvgd_2765000000_392,0.005623328280241874,0,ALL
Load_mvgd_40_lvgd_2765000000_194,BranchTee_mvgd_40_lvgd_2765000000_393,0.00619235554669492,0,ALL
Load_mvgd_40_lvgd_2765000000_195,BranchTee_mvgd_40_lvgd_2765000000_394,0.00619235554669492,0,ALL
Load_mvgd_40_lvgd_2765000000_196,BranchTee_mvgd_40_lvgd_2765000000_395,0.008067754655122524,0,ALL
Load_mvgd_40_lvgd_2765000000_197,BranchTee_mvgd_40_lvgd_2765000000_396,0.008067754655122524,0,ALL
Load_mvgd_40_lvgd_2765000000_198,BranchTee_mvgd_40_lvgd_2765000000_397,0.008067754655122524,0,ALL
Load_mvgd_40_lvgd_2765000000_199,BranchTee_mvgd_40_lvgd_2765000000_398,0.00853754551969853,0,ALL
Load_mvgd_40_lvgd_2765000000_200,BranchTee_mvgd_40_lvgd_2765000000_399,0.00619235554669492,0,ALL
Load_mvgd_40_lvgd_2765000000_201,BranchTee_mvgd_40_lvgd_2765000000_400,0.006918355852169497,0,ALL
Load_mvgd_40_lvgd_2765000000_202,BranchTee_mvgd_40_lvgd_2765000000_401,0.00789114335154043,0,ALL
Load_mvgd_40_lvgd_2765000000_203,BranchTee_mvgd_40_lvgd_2765000000_402,0.00789114335154043,0,ALL
Load_mvgd_40_lvgd_2765000000_204,BranchTee_mvgd_40_lvgd_2765000000_403,0.006421702048424361,0,ALL
Load_mvgd_40_lvgd_2765000000_205,BranchTee_mvgd_40_lvgd_2765000000_404,0.008149938913069444,0,ALL
Load_mvgd_40_lvgd_2765000000_206,BranchTee_mvgd_40_lvgd_2765000000_405,0.006097022609084986,0,ALL
Load_mvgd_40_lvgd_2765000000_207,BranchTee_mvgd_40_lvgd_2765000000_406,0.006097022609084986,0,ALL
Load_mvgd_40_lvgd_2765000000_208,BranchTee_mvgd_40_lvgd_2765000000_407,0.006097022609084986,0,ALL
Load_mvgd_40_lvgd_2765000000_209,BranchTee_mvgd_40_lvgd_2765000000_408,0.006097022609084986,0,ALL
Load_mvgd_40_lvgd_2765000000_210,BranchTee_mvgd_40_lvgd_2765000000_409,0.006097022609084986,0,ALL
Load_mvgd_40_lvgd_2765000000_211,BranchTee_mvgd_40_lvgd_2765000000_410,0.006097022609084986,0,ALL
Load_mvgd_40_lvgd_2765000000_212,BranchTee_mvgd_40_lvgd_2765000000_411,0.006483407500530758,0,ALL
Load_mvgd_40_lvgd_2765000000_213,BranchTee_mvgd_40_lvgd_2765000000_412,0.006931352018749247,0,ALL
Load_mvgd_40_lvgd_2765000000_214,BranchTee_mvgd_40_lvgd_2765000000_413,0.006483407500530758,0,ALL
