,Transformer_lv_grid_2765000000_1,Transformer_lv_grid_2765000000_2,Transformer_lv_grid_2765000000_3,Transformer_lv_grid_2765000001_1,Transformer_lv_grid_2765000001_2,Transformer_lv_grid_2765000002_1
1970-01-01 00:00:00,1.2826253151589573e+66,1.2826253151589573e+66,1.2826253151589573e+66,1.8948900907595863e+66,1.8948900907595863e+66,1.877771773232471e+63
1970-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
